    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 21572 Sekunden (5.99 h)
VmRSS Start: 2104 kB

[ 9660.0s]     50682652 Runden |    5263/s (Ø    5247/s) | Fehler 0 | Tamper 0/12374 | RSS 2104 kB
[ 9720.0s]     50993893 Runden |    5187/s (Ø    5246/s) | Fehler 0 | Tamper 0/12450 | RSS 2104 kB
[ 9780.0s]     51309365 Runden |    5258/s (Ø    5246/s) | Fehler 0 | Tamper 0/12527 | RSS 2104 kB
[ 9840.0s]     51626570 Runden |    5287/s (Ø    5247/s) | Fehler 0 | Tamper 0/12605 | RSS 2104 kB
[ 9900.0s]     51945793 Runden |    5320/s (Ø    5247/s) | Fehler 0 | Tamper 0/12683 | RSS 2104 kB
[ 9960.0s]     52265736 Runden |    5332/s (Ø    5248/s) | Fehler 0 | Tamper 0/12761 | RSS 2104 kB
[10020.0s]     52578093 Runden |    5206/s (Ø    5247/s) | Fehler 0 | Tamper 0/12837 | RSS 2104 kB
[10080.0s]     52892770 Runden |    5245/s (Ø    5247/s) | Fehler 0 | Tamper 0/12914 | RSS 2104 kB
[10140.0s]     53209837 Runden |    5284/s (Ø    5247/s) | Fehler 0 | Tamper 0/12991 | RSS 2104 kB
[10200.0s]     53527121 Runden |    5288/s (Ø    5248/s) | Fehler 0 | Tamper 0/13069 | RSS 2104 kB
[10260.0s]     53843169 Runden |    5267/s (Ø    5248/s) | Fehler 0 | Tamper 0/13146 | RSS 2104 kB
[10320.0s]     54153091 Runden |    5165/s (Ø    5247/s) | Fehler 0 | Tamper 0/13221 | RSS 2104 kB
[10380.0s]     54467752 Runden |    5244/s (Ø    5247/s) | Fehler 0 | Tamper 0/13298 | RSS 2104 kB
[10440.0s]     54787119 Runden |    5323/s (Ø    5248/s) | Fehler 0 | Tamper 0/13376 | RSS 2104 kB
[10500.0s]     55105694 Runden |    5310/s (Ø    5248/s) | Fehler 0 | Tamper 0/13454 | RSS 2104 kB
[10560.0s]     55423957 Runden |    5304/s (Ø    5248/s) | Fehler 0 | Tamper 0/13532 | RSS 2104 kB
[10620.0s]     55734940 Runden |    5183/s (Ø    5248/s) | Fehler 0 | Tamper 0/13608 | RSS 2104 kB
[10680.0s]     56053177 Runden |    5304/s (Ø    5248/s) | Fehler 0 | Tamper 0/13685 | RSS 2104 kB
[10740.0s]     56370361 Runden |    5286/s (Ø    5249/s) | Fehler 0 | Tamper 0/13763 | RSS 2104 kB
[10800.0s]     56689919 Runden |    5326/s (Ø    5249/s) | Fehler 0 | Tamper 0/13841 | RSS 2104 kB
[10860.0s]     57006954 Runden |    5284/s (Ø    5249/s) | Fehler 0 | Tamper 0/13918 | RSS 2104 kB
[10920.0s]     57320348 Runden |    5223/s (Ø    5249/s) | Fehler 0 | Tamper 0/13995 | RSS 2104 kB
[10980.0s]     57634895 Runden |    5242/s (Ø    5249/s) | Fehler 0 | Tamper 0/14072 | RSS 2104 kB
[11040.0s]     57951399 Runden |    5275/s (Ø    5249/s) | Fehler 0 | Tamper 0/14149 | RSS 2104 kB
[11100.0s]     58266002 Runden |    5243/s (Ø    5249/s) | Fehler 0 | Tamper 0/14226 | RSS 2104 kB
[11160.0s]     58582176 Runden |    5270/s (Ø    5249/s) | Fehler 0 | Tamper 0/14303 | RSS 2104 kB
[11220.0s]     58896915 Runden |    5246/s (Ø    5249/s) | Fehler 0 | Tamper 0/14380 | RSS 2104 kB
[11280.0s]     59213184 Runden |    5271/s (Ø    5249/s) | Fehler 0 | Tamper 0/14457 | RSS 2104 kB
[11340.0s]     59530000 Runden |    5280/s (Ø    5250/s) | Fehler 0 | Tamper 0/14534 | RSS 2104 kB
[11400.0s]     59849087 Runden |    5318/s (Ø    5250/s) | Fehler 0 | Tamper 0/14612 | RSS 2104 kB
[11460.0s]     60164954 Runden |    5264/s (Ø    5250/s) | Fehler 0 | Tamper 0/14689 | RSS 2104 kB
[11520.0s]     60474555 Runden |    5160/s (Ø    5250/s) | Fehler 0 | Tamper 0/14765 | RSS 2104 kB
[11580.0s]     60785837 Runden |    5188/s (Ø    5249/s) | Fehler 0 | Tamper 0/14841 | RSS 2104 kB
[11640.1s]     61098603 Runden |    5213/s (Ø    5249/s) | Fehler 0 | Tamper 0/14917 | RSS 2104 kB
[11700.1s]     61410212 Runden |    5193/s (Ø    5249/s) | Fehler 0 | Tamper 0/14993 | RSS 2104 kB
[11760.1s]     61723603 Runden |    5223/s (Ø    5249/s) | Fehler 0 | Tamper 0/15070 | RSS 2104 kB
[11820.1s]     62033148 Runden |    5159/s (Ø    5248/s) | Fehler 0 | Tamper 0/15145 | RSS 2104 kB
[11880.1s]     62349222 Runden |    5268/s (Ø    5248/s) | Fehler 0 | Tamper 0/15222 | RSS 2104 kB
[11940.1s]     62665852 Runden |    5277/s (Ø    5248/s) | Fehler 0 | Tamper 0/15300 | RSS 2104 kB
[12000.1s]     62984587 Runden |    5312/s (Ø    5249/s) | Fehler 0 | Tamper 0/15378 | RSS 2104 kB
[12060.1s]     63302098 Runden |    5292/s (Ø    5249/s) | Fehler 0 | Tamper 0/15455 | RSS 2104 kB
[12120.1s]     63615842 Runden |    5229/s (Ø    5249/s) | Fehler 0 | Tamper 0/15532 | RSS 2104 kB
[12180.1s]     63932089 Runden |    5271/s (Ø    5249/s) | Fehler 0 | Tamper 0/15609 | RSS 2104 kB
[12240.1s]     64250271 Runden |    5303/s (Ø    5249/s) | Fehler 0 | Tamper 0/15687 | RSS 2104 kB
[12300.1s]     64567201 Runden |    5282/s (Ø    5249/s) | Fehler 0 | Tamper 0/15764 | RSS 2104 kB
[12360.1s]     64884270 Runden |    5284/s (Ø    5250/s) | Fehler 0 | Tamper 0/15841 | RSS 2104 kB
[12420.1s]     65192476 Runden |    5137/s (Ø    5249/s) | Fehler 0 | Tamper 0/15917 | RSS 2104 kB
[12480.1s]     65506585 Runden |    5235/s (Ø    5249/s) | Fehler 0 | Tamper 0/15993 | RSS 2104 kB
[12540.1s]     65822077 Runden |    5258/s (Ø    5249/s) | Fehler 0 | Tamper 0/16070 | RSS 2104 kB
[12600.1s]     66138774 Runden |    5278/s (Ø    5249/s) | Fehler 0 | Tamper 0/16148 | RSS 2104 kB
[12660.1s]     66455565 Runden |    5280/s (Ø    5249/s) | Fehler 0 | Tamper 0/16225 | RSS 2104 kB
[12720.1s]     66768353 Runden |    5213/s (Ø    5249/s) | Fehler 0 | Tamper 0/16301 | RSS 2104 kB
[12780.1s]     67087149 Runden |    5313/s (Ø    5249/s) | Fehler 0 | Tamper 0/16379 | RSS 2104 kB
[12840.1s]     67403364 Runden |    5270/s (Ø    5249/s) | Fehler 0 | Tamper 0/16456 | RSS 2104 kB
[12900.1s]     67721246 Runden |    5298/s (Ø    5250/s) | Fehler 0 | Tamper 0/16534 | RSS 2104 kB
[12960.1s]     68036486 Runden |    5254/s (Ø    5250/s) | Fehler 0 | Tamper 0/16611 | RSS 2104 kB
[13020.1s]     68346907 Runden |    5174/s (Ø    5249/s) | Fehler 0 | Tamper 0/16687 | RSS 2104 kB
