    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 28800 Sekunden (8.00 h)
VmRSS Start: 2120 kB

[ 8580.0s]     44948454 Runden |    5206/s (Ø    5239/s) | Fehler 0 | Tamper 0/10974 | RSS 2120 kB
[ 8640.0s]     45267595 Runden |    5319/s (Ø    5239/s) | Fehler 0 | Tamper 0/11052 | RSS 2120 kB
[ 8700.0s]     45584670 Runden |    5285/s (Ø    5240/s) | Fehler 0 | Tamper 0/11130 | RSS 2120 kB
[ 8760.0s]     45901513 Runden |    5281/s (Ø    5240/s) | Fehler 0 | Tamper 0/11207 | RSS 2120 kB
[ 8820.0s]     46216158 Runden |    5244/s (Ø    5240/s) | Fehler 0 | Tamper 0/11284 | RSS 2120 kB
[ 8880.0s]     46520600 Runden |    5074/s (Ø    5239/s) | Fehler 0 | Tamper 0/11358 | RSS 2120 kB
[ 8940.0s]     46836951 Runden |    5273/s (Ø    5239/s) | Fehler 0 | Tamper 0/11435 | RSS 2120 kB
[ 9000.0s]     47151497 Runden |    5242/s (Ø    5239/s) | Fehler 0 | Tamper 0/11512 | RSS 2120 kB
[ 9060.0s]     47467244 Runden |    5262/s (Ø    5239/s) | Fehler 0 | Tamper 0/11589 | RSS 2120 kB
[ 9120.0s]     47783027 Runden |    5263/s (Ø    5239/s) | Fehler 0 | Tamper 0/11666 | RSS 2120 kB
[ 9180.0s]     48091595 Runden |    5143/s (Ø    5239/s) | Fehler 0 | Tamper 0/11742 | RSS 2120 kB
[ 9240.0s]     48404899 Runden |    5222/s (Ø    5239/s) | Fehler 0 | Tamper 0/11818 | RSS 2120 kB
[ 9300.0s]     48723854 Runden |    5316/s (Ø    5239/s) | Fehler 0 | Tamper 0/11896 | RSS 2120 kB
[ 9360.0s]     49040418 Runden |    5276/s (Ø    5239/s) | Fehler 0 | Tamper 0/11973 | RSS 2120 kB
[ 9420.0s]     49357585 Runden |    5286/s (Ø    5240/s) | Fehler 0 | Tamper 0/12051 | RSS 2120 kB
[ 9480.0s]     49669938 Runden |    5206/s (Ø    5239/s) | Fehler 0 | Tamper 0/12127 | RSS 2120 kB
[ 9540.0s]     49985968 Runden |    5267/s (Ø    5240/s) | Fehler 0 | Tamper 0/12204 | RSS 2120 kB
[ 9600.0s]     50299701 Runden |    5229/s (Ø    5240/s) | Fehler 0 | Tamper 0/12281 | RSS 2120 kB
[ 9660.0s]     50611246 Runden |    5192/s (Ø    5239/s) | Fehler 0 | Tamper 0/12357 | RSS 2120 kB
[ 9720.0s]     50924667 Runden |    5224/s (Ø    5239/s) | Fehler 0 | Tamper 0/12433 | RSS 2120 kB
[ 9780.0s]     51230469 Runden |    5097/s (Ø    5238/s) | Fehler 0 | Tamper 0/12508 | RSS 2120 kB
[ 9840.0s]     51544320 Runden |    5231/s (Ø    5238/s) | Fehler 0 | Tamper 0/12585 | RSS 2120 kB
[ 9900.0s]     51857500 Runden |    5220/s (Ø    5238/s) | Fehler 0 | Tamper 0/12661 | RSS 2120 kB
[ 9960.0s]     52170734 Runden |    5221/s (Ø    5238/s) | Fehler 0 | Tamper 0/12737 | RSS 2120 kB
[10020.0s]     52483840 Runden |    5218/s (Ø    5238/s) | Fehler 0 | Tamper 0/12814 | RSS 2120 kB
[10080.0s]     52795062 Runden |    5187/s (Ø    5238/s) | Fehler 0 | Tamper 0/12890 | RSS 2120 kB
[10140.0s]     53110342 Runden |    5255/s (Ø    5238/s) | Fehler 0 | Tamper 0/12967 | RSS 2120 kB
[10200.0s]     53427122 Runden |    5280/s (Ø    5238/s) | Fehler 0 | Tamper 0/13044 | RSS 2120 kB
[10260.0s]     53741564 Runden |    5241/s (Ø    5238/s) | Fehler 0 | Tamper 0/13121 | RSS 2120 kB
[10320.0s]     54055633 Runden |    5234/s (Ø    5238/s) | Fehler 0 | Tamper 0/13198 | RSS 2120 kB
[10380.0s]     54363848 Runden |    5137/s (Ø    5237/s) | Fehler 0 | Tamper 0/13273 | RSS 2120 kB
[10440.0s]     54681418 Runden |    5293/s (Ø    5238/s) | Fehler 0 | Tamper 0/13350 | RSS 2120 kB
[10500.0s]     54996004 Runden |    5243/s (Ø    5238/s) | Fehler 0 | Tamper 0/13427 | RSS 2120 kB
[10560.0s]     55310607 Runden |    5243/s (Ø    5238/s) | Fehler 0 | Tamper 0/13504 | RSS 2120 kB
[10620.0s]     55626069 Runden |    5258/s (Ø    5238/s) | Fehler 0 | Tamper 0/13581 | RSS 2120 kB
[10680.0s]     55936926 Runden |    5181/s (Ø    5238/s) | Fehler 0 | Tamper 0/13657 | RSS 2120 kB
[10740.0s]     56251789 Runden |    5248/s (Ø    5238/s) | Fehler 0 | Tamper 0/13734 | RSS 2120 kB
[10800.0s]     56566241 Runden |    5241/s (Ø    5238/s) | Fehler 0 | Tamper 0/13811 | RSS 2120 kB
[10860.0s]     56882744 Runden |    5275/s (Ø    5238/s) | Fehler 0 | Tamper 0/13888 | RSS 2120 kB
[10920.0s]     57196667 Runden |    5232/s (Ø    5238/s) | Fehler 0 | Tamper 0/13965 | RSS 2120 kB
[10980.0s]     57508772 Runden |    5202/s (Ø    5238/s) | Fehler 0 | Tamper 0/14041 | RSS 2120 kB
[11040.0s]     57826210 Runden |    5291/s (Ø    5238/s) | Fehler 0 | Tamper 0/14118 | RSS 2120 kB
[11100.0s]     58140975 Runden |    5246/s (Ø    5238/s) | Fehler 0 | Tamper 0/14195 | RSS 2120 kB
[11160.0s]     58453966 Runden |    5217/s (Ø    5238/s) | Fehler 0 | Tamper 0/14271 | RSS 2120 kB
